mstrrecnbr,collision_ts,year,county,countystat,crash,crash_type,fatalities,non_motorists,commercial,fatal_c,nonmotor_c,truck_c,fatalc,serious_injuries,ped,bike,lighting,weather,first_harmful_event,latitude,longitude,in_city,src_layer
102680539,2020-03-14,2020,Davidson,,1.0,Possible Injury,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Transport On Same Roadway,36.0344,-86.74356,False,Crashes_MPO_2020
102680597,2020-03-14,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Motor Vehicle-In-Transport On Same Roadway,35.97464,-86.77607,True,Crashes_MPO_2020
102680677,2020-03-14,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,36.04142,-86.77996,False,Crashes_MPO_2020
102680729,2020-03-14,2020,Williamson,,1.0,Suspected Minor Injury,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Not Lighted,Rain,Motor Vehicle-In-Transport On Same Roadway,36.03017,-86.78364,True,Crashes_MPO_2020
102680774,2020-03-14,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Not Lighted,Rain,Motor Vehicle-In-Transport On Same Roadway,36.03431,-86.78313,True,Crashes_MPO_2020
102680919,2020-03-15,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Rain,Mail Box,36.01931,-86.74626,False,Crashes_MPO_2020
102681167,2020-03-15,2020,Williamson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,35.94631,-86.8236,False,Crashes_MPO_2020
102681545,2020-03-15,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,36.03047,-86.74398,False,Crashes_MPO_2020
102681629,2020-03-14,2020,Williamson,,1.0,Possible Injury,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Guard Rail Face,36.01118,-86.7849,True,Crashes_MPO_2020
102683968,2020-03-19,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Fence,35.95673,-86.71335,False,Crashes_MPO_2020
102681723,2020-03-15,2020,Williamson,,1.0,Possible Injury,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Cloudy,Motor Vehicle-In-Transport On Same Roadway,35.94281,-86.81596,False,Crashes_MPO_2020
102682008,2020-03-16,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Motor Vehicle-In-Transport On Same Roadway,35.98366,-86.73135,True,Crashes_MPO_2020
102682242,2020-03-16,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Motor Vehicle-In-Transport On Same Roadway,35.966683,-86.809149,True,Crashes_MPO_2020
102682280,2020-03-16,2020,Davidson,,1.0,Possible Injury,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Motor Vehicle-In-Transport On Same Roadway,36.04617,-86.68409,False,Crashes_MPO_2020
102682319,2020-03-16,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Motor Vehicle-In-Transport On Same Roadway,36.0269,-86.68083,False,Crashes_MPO_2020
102682525,2020-03-15,2020,Williamson,,1.0,Suspected Minor Injury,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Clear,Motor Vehicle-In-Transport On Same Roadway,35.94541,-86.81505,False,Crashes_MPO_2020
102682673,2020-03-17,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Rain,Motor Vehicle-In-Transport On Same Roadway,36.03983,-86.74095,False,Crashes_MPO_2020
102682912,2020-03-06,2020,Williamson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Transport On Same Roadway,35.9399,-86.82045,False,Crashes_MPO_2020
102682913,2020-03-13,2020,Williamson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Parked Motor Vehicle,35.93482,-86.8255,False,Crashes_MPO_2020
102682914,2020-03-17,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Transport On Same Roadway,35.96648,-86.81375,True,Crashes_MPO_2020
102682990,2020-03-17,2020,Williamson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,36.01786,-86.76749,True,Crashes_MPO_2020
102683111,2020-03-17,2020,Williamson,,1.0,Suspected Minor Injury,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,"Over Turn, Roll Over",36.01055,-86.71975,False,Crashes_MPO_2020
102683350,2020-03-18,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,36.03797,-86.79777,False,Crashes_MPO_2020
102683517,2020-03-18,2020,Williamson,,1.0,Suspected Minor Injury,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Rain,Motor Vehicle-In-Transport On Same Roadway,35.99942,-86.74316,True,Crashes_MPO_2020
102683583,2020-03-18,2020,Williamson,,1.0,Suspected Minor Injury,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Rain,Motor Vehicle-In-Transport On Same Roadway,35.96705,-86.81355,True,Crashes_MPO_2020
102683585,2020-03-18,2020,Williamson,,1.0,Suspected Minor Injury,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Motor Vehicle-In-Transport On Same Roadway,35.94584,-86.82546,False,Crashes_MPO_2020
102683597,2020-03-18,2020,Williamson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Rain,Motor Vehicle-In-Transport On Same Roadway,35.92894,-86.842,False,Crashes_MPO_2020
